Component,Price (USD),Purchase Link
Raspberry Pi 5 (4 GB),70,https://robu.in/product/raspberry-pi-5-model-4gb/
YDLIDAR X4 Pro,94,https://robu.in/product/ydlidar-x4-pro-360-degree-ros-scanner-for-navigation-collision-avoidance-10m/
RC522 RFID Module,3,https://robu.in/product/rc522-rfid-card-reader-module-13-56mhz/
 Raspberry Pi 4 Power Supply,12,https://www.amazon.in/Raspberry-Pi-Camera-Module-Megapixel/dp/B07TYQRXTK
Camera for Navigation,7,https://robu.in/product/ov5647-5mp-ir-cut-camera-for-raspberry-pi-3-with-automatic-day-night-mode-switching/
USB Webcam (Logitech C270),18,https://amzn.in/d/iAT9GPO
BME680 Environmental Sensor,12,https://robu.in/product/smartelex-bme680-temperature-humidity-pressure-and-gas-sensor-breakout-board/
DC Motors Dual Shaft x4 & Wheels,5,https://robu.in/product/100-rpm-dual-shaft-bo-motor-straight/
Microphone & Speaker,8,https://robu.in/product/max9814-high-performance-microphone-agc-amplifier-module-cma-4544pf-w/
Bluetooth Beacons (Set),7,https://robu.in/product/wireless-tag-wt51822-s4at-pcb-antenna-compact-size-at-command-ble-slave-module/
LED IR Lighting Modules,3,https://robu.in/product/ws2812b-4-x-4-rgb-led-module/
Charging Dock System Tags,5,https://qbmindia.com/shop/batteries/power-bank-modules/5v-2a-super-current-wireless-chrg-module-na459/
Motor Driver Boards (L298N x2),7,https://robu.in/product/l298-based-motor-driver-module-2a/
Li-ion Battery (11.1V 3S),14,https://robu.in/product/orange-11-1v-1800mah-3s-40c-lipo-battery-pack-xt60-connector/
BMS Voltage Regulator Wires,18,https://robu.in/product/5s-25a-18650-lithium-battery-protection-board/
Cooling Kit (Fan Heatsinks),6,https://amzn.in/d/dodV3OS
High-Speed MicroSD (64 GB),7,https://www.amazon.in/SanDisk-Ultra-MicroSDHC-Memory-Adapter/dp/B073JY5T7T
3D Print and Misc,~30,Local Store or HackClub
,,
TOTAL,326,Expecting $260 from HackClub.
